Provider NI Name,Provider ID,Provider Name
"A-Kum, Eric",1-2607514533,PHC Home Care Limited
"Aabe, Nura",1-11051847936,Quality & Compassionate Care Ltd
"Aashuri, Sahil",1-3000560424,Astoria Homecare Limited
"Abad, Girlee",1-12835456013,Filcare Ltd
"Abade, Warda",1-14885789859,Kindlycare Ltd
"Abatan, Ebunoluwa",1-18122320447,IBEF Care Services Limited
"Abbas, Samira",1-1358587621,Sam2Sam Deaf Care Service Ltd
"Abbasi, Muhammad Athar",1-7205868978,Support By Heart Ltd
"Abbiw, Michael",1-10595981355,Like Care Limited
"Abbot, Vinayak",1-6705974350,Infiniti Care Ltd
"Abdalla, Halimo",1-15763767727,Delicate Hands Care Limited
"Abdalla, Iman",1-6591618051,Authentic & Care Services Ltd
"Abdella, Roble",1-9523225283,Sabir Care UK Ltd
"Abdi Ali, Ismahan",1-17188246561,Trio Care Agency Limited
"Abdi, Abosrag",1-15162156476,Jamacare Ltd
"Abdi, Ahmed",1-3566011322,Dream Home Care Ltd
"Abdi, Ahmed Ibrahim Haji",1-14336040225,London Homecarers Ltd
"Abdi, Halima",1-8083912348,Raising Care Ltd
"Abdi, Huda",1-14518209267,Marigold Home Care Ltd
"Abdi, Khadra",1-127653784,Nation Care Agency Ltd
"Abdi, Sahra",1-13050345525,First Necessity Care Ltd
"Abdi, Samsam",1-17942352612,Sam&Mun Care Ltd
"Abdi, Warda",1-14636271568,Sahal Care Limited
"Abdile, Mohamed",1-2687163737,Open Heart Care Ltd
"Abdillahi, Nur",1-101675879,Horizon Care And Welfare Association
"Abdin, Humayara",1-12771812660,Gentle Hands Care And Services Limited
"Abdollahzadehnamini, Farahrouz",1-10198739655,Community Care Experts Ltd
"Abdraheman, Bibi",1-1380127131,Marieco Care Limited
"Abdulaziz, Parvin",1-1634064498,Next Care Ltd
"Abdulbasir, Mohammod",1-17027646436,Central Support Ltd
"Abdulkadir, Maryan",1-9218611062,Vital Care and Support Ltd
"Abdullah, Ibrahim",1-6064199460,Peacocks Care Services Ltd
"Abdullahi, Ikran",1-4802807758,MMR Homecare Limited
"Abdullahi, Mohamed",1-13030145451,Puretouch Care Limited
"Abdullahi, Zeinab",1-3753067685,Homecare Alliance Limited
"Abdulraheem, Tayeeba",1-2255966443,Finch Support Services Ltd
"Abedi, Sophia",1-2245498915,Roundhey Care Limited
